Player,Agents,ACS,K,D,A,KD_DIFF,ADR,HS%,FK,FD,FK_FD_DIFF,match_id,Team_x,Opp_Team_x,rounds_won,rounds_lost,ct_rounds_won,ct_rounds_lost,t_rounds_won,t_rounds_lost,Map,Patch_x,total_rounds,win_rate,KPR,DPR,APR,FKPR,FKWR,FDPR,ct_wr,t_wr,RESULT,2K,3K,4K,5K,1v1,1v2,1v3,1v4,1v5,ECON,PL,DE,Team_y,Opp_Team_y,Patch_y,total_mult_kill,total_clutch,MKPR,CPR,0,astra,breach,brimstone,cypher,jett,killjoy,omen,phoenix,raze,reyna,sage,skye,sova,viper,yoru
Quick,jett,274,12,15,4,-3,163.8,9,5,4,1,6052,FKL,GL,2,13,0,3,2,10,BIND,0.0,15,13.33,0.8,1.0,0.27,0.33,55.56,0.27,0.0,16.67,L,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61,0,0,FKL,GL,1.12,3.0,0.0,0.2,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Khalil,sova,179,7,15,7,-8,122.9,7,0,1,-1,6052,FKL,GL,2,13,0,3,2,10,BIND,0.0,15,13.33,0.47,1.0,0.47,0.0,0.0,0.07,0.0,16.67,L,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51,0,0,FKL,GL,1.12,1.0,0.0,0.07,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
pava,killjoy,136,7,13,2,-6,80.2,6,0,1,-1,6052,FKL,GL,2,13,0,3,2,10,BIND,0.0,15,13.33,0.47,0.87,0.13,0.0,0.0,0.07,0.0,16.67,L,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36,2,0,FKL,GL,1.12,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
bld,breach,130,8,14,3,-6,74.4,32,1,1,0,6052,FKL,GL,2,13,0,3,2,10,BIND,0.0,15,13.33,0.53,0.93,0.2,0.07,50.0,0.07,0.0,16.67,L,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31,1,0,FKL,GL,1.12,2.0,0.0,0.13,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
mch,omen,88,4,14,2,-10,123.7,33,1,1,0,6052,FKL,GL,2,13,0,3,2,10,BIND,0.0,15,13.33,0.27,0.93,0.13,0.07,50.0,0.07,0.0,16.67,L,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51,0,0,FKL,GL,1.12,1.0,0.0,0.07,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
mwzera,raze,312,19,11,4,8,171.7,11,4,1,3,6052,GL,FKL,13,5,5,1,8,4,SPLIT,0.0,18,72.22,1.06,0.61,0.22,0.22,80.0,0.06,83.33,66.67,W,3,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56,0,0,GL,FKL,1.12,5.0,0.0,0.28,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Jonn,jett,280,20,12,2,8,186.7,23,4,1,3,6052,GL,FKL,13,5,5,1,8,4,SPLIT,0.0,18,72.22,1.11,0.67,0.11,0.22,80.0,0.06,83.33,66.67,W,2,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,71,0,0,GL,FKL,1.12,4.0,0.0,0.22,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
JhoW,omen,267,19,8,3,11,161.7,25,2,0,2,6052,GL,FKL,13,5,5,1,8,4,SPLIT,0.0,18,72.22,1.06,0.44,0.17,0.11,100.0,0.0,83.33,66.67,W,4,0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,103,10,0,GL,FKL,1.12,6.0,2.0,0.33,0.11,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
fznnn,cypher,210,13,9,2,4,101.7,19,2,2,0,6052,GL,FKL,13,5,5,1,8,4,SPLIT,0.0,18,72.22,0.72,0.5,0.11,0.11,50.0,0.11,83.33,66.67,W,4,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,42,0,0,GL,FKL,1.12,5.0,0.0,0.28,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Nyang,breach,117,7,13,11,-6,82.4,20,0,2,-2,6052,GL,FKL,13,5,5,1,8,4,SPLIT,0.0,18,72.22,0.39,0.72,0.61,0.0,0.0,0.11,83.33,66.67,W,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29,2,0,GL,FKL,1.12,1.0,0.0,0.06,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
bld,killjoy,212,13,15,3,-2,137.0,15,1,1,0,6052,FKL,GL,5,13,4,8,1,5,SPLIT,0.0,18,27.78,0.72,0.83,0.17,0.06,50.0,0.06,33.33,16.67,L,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57,0,1,FKL,GL,1.12,3.0,0.0,0.17,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Quick,jett,191,12,15,2,-3,109.1,16,2,6,-4,6052,FKL,GL,5,13,4,8,1,5,SPLIT,0.0,18,27.78,0.67,0.83,0.11,0.11,25.0,0.33,33.33,16.67,L,1,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,42,0,2,FKL,GL,1.12,3.0,1.0,0.17,0.06,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Khalil,cypher,188,12,15,4,-3,115.7,20,0,1,-1,6052,FKL,GL,5,13,4,8,1,5,SPLIT,0.0,18,27.78,0.67,0.83,0.22,0.0,0.0,0.06,33.33,16.67,L,2,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,48,0,1,FKL,GL,1.12,3.0,1.0,0.17,0.06,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
pava,raze,186,10,16,6,-6,117.0,13,1,2,-1,6052,FKL,GL,5,13,4,8,1,5,SPLIT,0.0,18,27.78,0.56,0.89,0.33,0.06,33.33,0.11,33.33,16.67,L,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48,1,0,FKL,GL,1.12,3.0,0.0,0.17,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
mch,omen,95,6,17,0,-11,57.1,28,2,2,0,6052,FKL,GL,5,13,4,8,1,5,SPLIT,0.0,18,27.78,0.33,0.94,0.0,0.11,50.0,0.11,33.33,16.67,L,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22,0,0,FKL,GL,1.12,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
mwzera,raze,253,15,12,2,3,147.2,16,2,1,1,3214,GL,FF,7,13,3,5,4,8,BIND,0.0,20,35.0,0.75,0.6,0.1,0.1,66.67,0.05,37.5,33.33,L,3,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75,1,1,GL,FF,1.08,4.0,0.0,0.2,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
fznnn,cypher,159,9,14,2,-5,108.9,28,0,2,-2,3214,GL,FF,7,13,3,5,4,8,BIND,0.0,20,35.0,0.45,0.7,0.1,0.0,0.0,0.1,37.5,33.33,L,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53,0,0,GL,FF,1.08,2.0,0.0,0.1,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
