Player,Agents,ACS,K,D,A,KD_DIFF,ADR,HS%,FK,FD,FK_FD_DIFF,match_id,Team,Opp_Team,rounds_won,rounds_lost,ct_rounds_won,ct_rounds_lost,t_rounds_won,t_rounds_lost,Map,Patch
tuyz,raze,218,13,15,4,-2,144.8,13,1,1,0,4976,Mix,VK,7,13,4,4,3,9,SPLIT,
txddy,cypher,214,16,15,2,1,109.1,26,3,2,1,4976,Mix,VK,7,13,4,4,3,9,SPLIT,
rst,omen,172,12,14,6,-2,109.3,24,0,1,-1,4976,Mix,VK,7,13,4,4,3,9,SPLIT,
Biscoit1n,jett,144,9,14,3,-5,88.6,11,4,6,-2,4976,Mix,VK,7,13,4,4,3,9,SPLIT,
Evilkyk,killjoy,133,10,15,1,-5,83.1,13,1,1,0,4976,Mix,VK,7,13,4,4,3,9,SPLIT,
flainzz,cypher,283,21,12,6,9,128.4,24,3,2,1,4976,VK,Mix,13,8,7,2,6,6,BIND,
FLG1,omen,270,21,13,7,8,173.5,28,2,0,2,4976,VK,Mix,13,8,7,2,6,6,BIND,
NikkoLAN,jett,222,18,12,1,6,150.9,31,6,2,4,4976,VK,Mix,13,8,7,2,6,6,BIND,
patochovsk,raze,201,14,12,2,2,129.7,15,1,2,-1,4976,VK,Mix,13,8,7,2,6,6,BIND,
NANZIN,sova,160,12,10,5,2,108.0,24,0,3,-3,4976,VK,Mix,13,8,7,2,6,6,BIND,
txddy,cypher,220,16,16,5,0,130.0,15,0,0,0,4976,Mix,VK,8,13,6,6,2,7,BIND,
Biscoit1n,jett,192,14,18,5,-4,105.9,19,5,6,-1,4976,Mix,VK,8,13,6,6,2,7,BIND,
tuyz,raze,178,11,18,5,-7,130.5,12,1,4,-3,4976,Mix,VK,8,13,6,6,2,7,BIND,
Evilkyk,sova,149,9,18,8,-9,111.9,12,2,1,1,4976,Mix,VK,8,13,6,6,2,7,BIND,
rst,omen,121,9,16,3,-7,84.4,26,1,1,0,4976,Mix,VK,8,13,6,6,2,7,BIND,
patochovsk,raze,243,19,18,5,1,166.5,12,3,6,-3,4976,VK,Mix,11,13,4,8,2,5,ICEBOX,
NANZIN,omen,238,20,20,3,0,152.4,39,2,2,0,4976,VK,Mix,11,13,4,8,2,5,ICEBOX,
FLG1,skye,212,18,15,4,3,121.0,24,2,1,1,4976,VK,Mix,11,13,4,8,2,5,ICEBOX,
flainzz,cypher,201,18,13,5,5,106.1,32,0,1,-1,4976,VK,Mix,11,13,4,8,2,5,ICEBOX,
NikkoLAN,jett,131,11,19,2,-8,90.2,20,2,5,-3,4976,VK,Mix,11,13,4,8,2,5,ICEBOX,
txddy,cypher,286,25,17,3,8,171.4,22,3,0,3,4976,Mix,VK,13,11,5,2,8,4,ICEBOX,
Biscoit1n,jett,259,21,20,8,1,142.4,20,8,5,3,4976,Mix,VK,13,11,5,2,8,4,ICEBOX,
Evilkyk,sova,205,16,17,7,-1,129.7,14,1,1,0,4976,Mix,VK,13,11,5,2,8,4,ICEBOX,
tuyz,raze,156,14,16,3,-2,106.1,16,3,1,2,4976,Mix,VK,13,11,5,2,8,4,ICEBOX,
rst,omen,127,9,16,6,-7,134.1,15,0,2,-2,4976,Mix,VK,13,11,5,2,8,4,ICEBOX,
